Symbol,Name,Allocation,AssetClass,Sector,Industry,InstrumentType,vqTheme
ANET,Arista Networks,4.9,Equities,Information Technology,Communications Equipment,Common Stock,Cloud Computing
HUBS,HubSpot Inc,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
INTU,Intuit Inc,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
MSFT,Microsoft Corporation,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
ORCL,Oracle Corporation,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
AAPL,Apple Inc,4.9,Equities,Information Technology,"Technology Hardware, Storage & Peripherals",Common Stock,AI & Analytics
ADI,Analog Devices Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,AI & Analytics
HUBB,Hubbell Inc,4.9,Equities,Industrials,Electrical Equipment,Common Stock,AI & Analytics
NVDA,NVIDIA Corporation,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,AI & Analytics
PTC,PTC Inc,4.9,Equities,Information Technology,Software,Common Stock,AI & Analytics
ATEN,A10 Network,4.9,Equities,Information Technology,Software,Common Stock,CyberSecurity
AVGO,Broadcom Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,CyberSecurity
CACI,CACI International Inc,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
CSCO,Cisco Systems Inc,4.9,Equities,Information Technology,Communications Equipment,Common Stock,CyberSecurity
SAIC,Science Applications International Corp,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
AGG,iShares Core U.S. Aggregate Bond ETF,2,Fixed Income,Other,Intermediate Core Bond,ETF,-
AKAM,Akamai Technologies Inc,4.9,Equities,Information Technology,IT Services,Common Stock,5G & Internet of Things
BDC,Belden Inc,4.9,Equities,Information Technology,"Electronic Equipment, Instruments & Components",Common Stock,5G & Internet of Things
GSAT,Globalstar Inc,4.9,Equities,Communication Services,Diversified Telecommunication Services,Common Stock,5G & Internet of Things
LSCC,Lattice Semiconductor Corporation,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
ROK,Rockwell Automation Inc,4.9,Equities,Industrials,Electrical Equipment,Common Stock,5G & Internet of Things
